MSAT Samples (DNA Database Name),Populations,,
IMLS217,Hinds Road,,183IMLS217
IMLS218,Hinds Road,,184IMLS218
IMLS219,Hinds Road,,185IMLS219
IMLS220,Hinds Road,,186IMLS220
IMLS221,Hinds Road,,187IMLS221
IMLS222,Hinds Road,,188IMLS222
IMLS223,Hinds Road,,189IMLS223
IMLS224,Hinds Road,,190IMLS224
IMLS225,Hinds Road,,191IMLS225
IMLS226,Hinds Road,,192IMLS226
IMLS227,Hinds Road,,193IMLS227
IMLS228,Hinds Road,,194IMLS228
IMLS229,Hinds Road,,195IMLS229
IMLS230,Hinds Road,,196IMLS230
IMLS231,Hinds Road,,197IMLS231
IMLS232,Hinds Road,,198IMLS232
IMLS233,Hinds Road,,199IMLS233
IMLS234,Hinds Road,,200IMLS234
IMLS235,Hinds Road,,201IMLS235
IMLS236,Hinds Road,,202IMLS236
IMLS237,Hinds Road,,203IMLS237
IMLS238,Hinds Road,,204IMLS238
IMLS239,Hinds Road,,205IMLS239
IMLS240,Hinds Road,,206IMLS240
IMLS241,Hinds Road,,207IMLS241
IMLS242,Hinds Road,,208IMLS242
IMLS243,Hinds Road,,209IMLS243
IMLS244,Hinds Road,,210IMLS244
IMLS019,Peavine Falls,,211IMLS019
IMLS020,Peavine Falls,,212IMLS020
IMLS266,Peavine Falls,,213IMLS266
IMLS281,Peavine Falls,,214IMLS281
IMLS282,Peavine Falls,,215IMLS282
IMLS283,Peavine Falls,,216IMLS283
IMLS284,Peavine Falls,,217IMLS284
IMLS285,Peavine Falls,,218IMLS285
IMLS286,Peavine Falls,,219IMLS286
IMLS287,Peavine Falls,,220IMLS287
IMLS288,Peavine Falls,,221IMLS288
IMLS289,Peavine Falls,,222IMLS289
IMLS290,Peavine Falls,,223IMLS290
IMLS291,Peavine Falls,,224IMLS291
IMLS292,Peavine Falls,,225IMLS292
IMLS293,Peavine Falls,,226IMLS293
IMLS294,Peavine Falls,,227IMLS294
IMLS295,Peavine Falls,,228IMLS295
IMLS296,Peavine Falls,,229IMLS296
IMLS297,Peavine Falls,,230IMLS297
IMLS298,Peavine Falls,,231IMLS298
IMLS299,Peavine Falls,,232IMLS299
IMLS300,Peavine Falls,,233IMLS300
IMLS301,Peavine Falls,,234IMLS301
IMLS302,Peavine Falls,,235IMLS302
IMLS303,Peavine Falls,,236IMLS303
IMLS304,Peavine Falls,,237IMLS304
IMLS305,Peavine Falls,,238IMLS305
IMLS306,Peavine Falls,,239IMLS306
IMLS307,Peavine Falls,,240IMLS307
IMLS308,Missing (Pop 11),,241IMLS308
IMLS309,Missing (Pop 11),,242IMLS309
IMLS310,Missing (Pop 11),,243IMLS310
IMLS311,Missing (Pop 11),,244IMLS311
IMLS312,Missing (Pop 11),,245IMLS312
